productName,productSize,weightType,basePrice
Peppercorn Blend,80,oz,$8.50 
"Peppercorns, Pink",8,oz,$12.50 
"Peppercorns, Szechuan",14,oz,$13.80 
"Peppercorns, Tellicherry 5lb",80,oz,$59.94 
"Peppercorns, Whole Black",18,oz,$8.50 
"Peppercorns, Whole Black 25lb",400,oz,$132.14 
"Peppercorns, Whole Black 5lb",80,oz,$31.03 
"Peppercorns, Whole White",20,oz,$17.40 
"Peppercorns, Whole White 6lb",96,oz,$82.80 
Pickling Spice,15,oz,$4.14 
Pickling Spice 4lb,64,oz,$12.96 
Pine Nuts,16,oz,$12.41 
Pine Nuts 5lb,80,oz,$57.55 
Poppy Seeds,20,oz,$5.15 
Poultry Meat Rub,26,oz,$8.16 
Poultry Meat Rub 8lb,128,oz,$27.59 
Poultry Seasoning,12,oz,$4.56 
Pumpkin Pie Spice,16,oz,$6.14 
"Rosemary, Ground",12,oz,$4.34 
"Rosemary, Whole",6,oz,$3.79 
"Rosemary, Whole 2lb",32,oz,$9.90 
Saffron,1,oz,$68.00 
"Sage, Rubbed",8,oz,$5.33 
Savory,8,oz,$4.68 
Seasoning Salt-No MSG,29,oz,$4.76 
Seasoning Salt-No MSG 10lb,160,oz,$19.92 
Seasoning Salt-No MSG 25lb,400,oz,$40.80 
Sesame Seed Blend,20,oz,$6.18 
Sesame Seed Blend 6lb,96,oz,$20.28 
"Sesame Seed Blend, Toasted 5lb",80,oz,$17.78 
"Sesame Seeds, Black",20,oz,$5.40 
"Sesame Seeds, Black 6lb",96,oz,$19.80 
"Sesame Seeds, White",20,oz,$3.79 
"Sesame Seeds, White 25lb",400,oz,$39.80 
"Sesame Seeds, White 6lb",96,oz,$13.15 
"Smoked Sea Salt, Alderwood",40,oz,$18.48 
"Smoked Sea Salt, Alderwood 10lb",160,oz,$69.72 
"Smoked Sea Salt, Mesquite",40,oz,$18.48 
"Smoked Sea Salt, Mesquite 10lb",160,oz,$69.72 
Smokey Sweet Rub,28,oz,$10.86 
Smokey Sweet Rub 8.5lb,136,oz,$50.94 
Steak Seasoning,28,oz,$8.77 
Steak Seasoning 10lb,160,oz,$44.48 
Sumac,16,oz,$6.96 
Taco Seasoning,16,oz,$6.41 
Taco Seasoning 5lb,80,oz,$26.64 
Tarragon,4,oz,$6.95 
Tarragon,16,oz,$23.94 
"Thyme, French",6,oz,$4.84 
"Thyme, French 2lb",32,oz,$19.80 
"Thyme, Ground",12,oz,$5.10 
"Thyme, Whole",9,oz,$4.61 
"Thyme, Whole 3lb",48,oz,$12.60 
Turmeric,20,oz,$5.40 
Universal Seasoning 7lb,112,oz,$33.43 
Vanilla Beans - Madagascar Bourbon,4,oz,$81.60 
"Vanilla, Imitation 1qt",32,oz,$3.34 
"Vanilla, Madagascar Bourbon Extract 1qt",32,oz,$40.28 
Wasabi Powder 2.2lb,35,oz,$5.48 
Zahtar Seasoning,16,oz,$9.79 
